app,func,end_timestamp,duration,arrival_time,arrival_time_fix,trace_id,minute_bin
d399b29c39aafde69884d67ced0990a879c305854eca7e5bf88c26b6c6f389c8,ae6f97c69d684b23e45ce195db1da6d3853004596e39b78688a763c8bbd32b47,749247.2639689445,4.156,443.10796894459054,749243.1064780445,52,12487
d399b29c39aafde69884d67ced0990a879c305854eca7e5bf88c26b6c6f389c8,ae6f97c69d684b23e45ce195db1da6d3853004596e39b78688a763c8bbd32b47,749483.821926117,0.671,683.1509261169704,749483.1494352169,52,12491
d399b29c39aafde69884d67ced0990a879c305854eca7e5bf88c26b6c6f389c8,ae6f97c69d684b23e45ce195db1da6d3853004596e39b78688a763c8bbd32b47,749541.7771821022,0.562,741.2151821021689,749541.2136912021,52,12492
d399b29c39aafde69884d67ced0990a879c305854eca7e5bf88c26b6c6f389c8,ae6f97c69d684b23e45ce195db1da6d3853004596e39b78688a763c8bbd32b47,749722.0258951187,0.942,921.0838951186743,749721.0824042186,52,12495
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937025.3139150144,4.195,1021.1189150144346,937021.1174241144,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937025.3152039052,3.729,1021.5862039051717,937021.5847130051,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937025.329016924,2.428,1022.9010169240646,937022.899526024,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937025.3193390368,2.268,1023.0513390367851,937023.0498481367,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937028.869216919,0.005,1028.8642169189407,937028.8627260189,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937029.0855710506,0.002,1029.0835710506653,937029.0820801506,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937030.9470369816,0.002,1030.945036981604,937030.9435460815,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937032.122512102,0.001,1032.1215121019632,937032.1200212019,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937034.9915599824,0.005,1034.9865599824116,937034.9850690824,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937035.747807026,0.005,1035.7428070260212,937035.741316126,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937038.729090929,0.001,1038.7280909289839,937038.7266000289,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937039.3814809322,0.001,1039.3804809321882,937039.3789900321,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937039.9697051048,0.154,1039.8157051048474,937039.8142142048,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937039.979195118,0.001,1039.978195117903,937039.9767042178,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937040.0531899928,0.001,1040.0521899927408,937040.0506990927,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937040.1407539845,0.001,1040.1397539844038,937040.1382630843,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937040.1495420932,0.001,1040.148542093113,937040.147051193,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937040.1580519676,0.001,1040.1570519675734,937040.1555610675,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937040.2469859124,0.001,1040.245985912392,937040.2444950123,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937040.255669117,0.005,1040.2506691169692,937040.2491782169,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937040.292593956,0.002,1040.290593956015,937040.289103056,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937040.5675849916,0.21,1040.3575849916087,937040.3560940915,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937040.3673551084,0.001,1040.36635510833,937040.3648642083,65,15617
a0ed6d33dc4622e0a557f45a85a64d359ca20c3e5888fe64519cc08893395a98,50242e50bdc20d4a9468e40a01658f98198029fef100710fa9a82db3c3101ff9,937040.5595800875,0.06,1040.4995800874894,937040.4980891874,65,15617
