request_id,arrival_time,func,trace_id,category_id,memory,file_path,phase
1,38,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
2,48,313c03f53a0d31f70aec25f62efb33e7dd779725ca4af579018452d1204beaad,3,3,1024,googlenet.py,category_1_slow_background
3,50,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
4,53,313c03f53a0d31f70aec25f62efb33e7dd779725ca4af579018452d1204beaad,3,3,1024,googlenet.py,category_1_slow_background
5,54,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
6,74,1f33077bb2db73fd76a51e40e43f20173e3f038dd3f3705551751cf7724c3c40,59,1,1024,alexnet.py,category_1_slow_background
7,106,cd9f7f333d59aede8088772edac3bff78c45e2dad8eb498b450b9af511452a36,59,1,1024,efficientnet.py,category_1_slow_background
8,114,cd9f7f333d59aede8088772edac3bff78c45e2dad8eb498b450b9af511452a36,59,1,1024,efficientnet.py,category_1_slow_background
9,134,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,52,2,1024,bert.py,category_1_slow_background
10,165,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,52,2,1024,bert.py,category_1_slow_background
11,215,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
12,236,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
13,244,cd9f7f333d59aede8088772edac3bff78c45e2dad8eb498b450b9af511452a36,59,1,1024,efficientnet.py,category_1_slow_background
14,247,1f33077bb2db73fd76a51e40e43f20173e3f038dd3f3705551751cf7724c3c40,59,1,1024,alexnet.py,category_1_slow_background
15,261,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
16,266,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,52,2,1024,bert.py,category_1_slow_background
17,290,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
18,296,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,52,2,1024,bert.py,category_1_slow_background
19,300,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
20,321,1f33077bb2db73fd76a51e40e43f20173e3f038dd3f3705551751cf7724c3c40,59,1,1024,alexnet.py,category_1_slow_background
21,329,1f33077bb2db73fd76a51e40e43f20173e3f038dd3f3705551751cf7724c3c40,59,1,1024,alexnet.py,category_1_slow_background
22,368,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
23,377,cd9f7f333d59aede8088772edac3bff78c45e2dad8eb498b450b9af511452a36,59,1,1024,efficientnet.py,category_1_slow_background
24,378,cd9f7f333d59aede8088772edac3bff78c45e2dad8eb498b450b9af511452a36,59,1,1024,efficientnet.py,category_1_slow_background
25,396,1f33077bb2db73fd76a51e40e43f20173e3f038dd3f3705551751cf7724c3c40,59,1,1024,alexnet.py,category_1_slow_background
26,412,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,52,2,1024,bert.py,category_1_slow_background
27,421,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
28,434,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,52,2,1024,bert.py,category_1_slow_background
29,436,313c03f53a0d31f70aec25f62efb33e7dd779725ca4af579018452d1204beaad,3,3,1024,googlenet.py,category_1_slow_background
30,452,1f33077bb2db73fd76a51e40e43f20173e3f038dd3f3705551751cf7724c3c40,59,1,1024,alexnet.py,category_1_slow_background
31,457,1f33077bb2db73fd76a51e40e43f20173e3f038dd3f3705551751cf7724c3c40,59,1,1024,alexnet.py,category_1_slow_background
32,483,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
33,485,1f33077bb2db73fd76a51e40e43f20173e3f038dd3f3705551751cf7724c3c40,59,1,1024,alexnet.py,category_1_slow_background
34,486,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
35,494,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,52,2,1024,bert.py,category_1_slow_background
36,512,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,52,2,1024,bert.py,category_1_slow_background
37,528,9b61fd55aa093a2d172db1a68a60af5cf6cbfa7f5ea1fbc71846027a5954616d,52,2,1024,bert.py,category_1_slow_background
38,541,762835950e81a11cd04cedcb05275dc111c651625d575077fce49f82170e0986,52,2,1024,distilgpt2.py,category_1_slow_background
