app,func,end_timestamp,duration,arrival_time,trace_id,arrival_time_norm,func_id,arrival_time_hr
96149d3ed4f00afb92f12856101e693e93c4683f030ae6ca6ebfbb7ba5a2a345,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,288669.2918589115,0.038,669.2538589115138,20,669.2538589115138,resnet50,0.18590384969764273
96149d3ed4f00afb92f12856101e693e93c4683f030ae6ca6ebfbb7ba5a2a345,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,288671.2193319797,0.046,671.1733319797204,20,671.1733319797204,resnet50,0.18643703666103345
96149d3ed4f00afb92f12856101e693e93c4683f030ae6ca6ebfbb7ba5a2a345,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,288672.5303759575,0.037,672.4933759574778,20,672.4933759574778,resnet50,0.18680371554374384
96149d3ed4f00afb92f12856101e693e93c4683f030ae6ca6ebfbb7ba5a2a345,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,288674.5983641148,0.04,674.5583641148405,20,674.5583641148405,resnet50,0.18737732336523347
96149d3ed4f00afb92f12856101e693e93c4683f030ae6ca6ebfbb7ba5a2a345,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,288676.4557321072,0.039,676.4167321072309,20,676.4167321072309,resnet50,0.18789353669645303
96149d3ed4f00afb92f12856101e693e93c4683f030ae6ca6ebfbb7ba5a2a345,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,288678.00601911545,0.044,677.9620191154536,20,677.9620191154536,resnet50,0.18832278308762598
96149d3ed4f00afb92f12856101e693e93c4683f030ae6ca6ebfbb7ba5a2a345,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,288679.5942521095,0.041,679.553252109501,20,679.553252109501,resnet50,0.18876479225263917
96149d3ed4f00afb92f12856101e693e93c4683f030ae6ca6ebfbb7ba5a2a345,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,288681.04321599007,0.041,681.00221599004,20,681.00221599004,resnet50,0.18916728221945556
96149d3ed4f00afb92f12856101e693e93c4683f030ae6ca6ebfbb7ba5a2a345,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,288691.3642179966,0.042,691.3222179965815,20,691.3222179965815,resnet50,0.19203394944349486
96149d3ed4f00afb92f12856101e693e93c4683f030ae6ca6ebfbb7ba5a2a345,1cf618f9ee318fecbc31aa059ded8328581b9a9b092f1069b9f7679b6f89e52e,288691.5982749462,0.038,691.5602749462123,20,691.5602749462123,resnet50,0.19210007637394785
